,group,names,scores,logfoldchanges,pvals,pvals_adj
17451,1,PRKCE,20.552975,1.8522708,7.238934643987093e-94,1.482959634773497e-91
17452,1,MPPED1,19.873043,2.2113943,6.964877942713179e-88,1.3327408749062042e-85
17454,1,ARHGAP15,19.759197,2.1852422,6.686071099666247e-87,1.2385591070051953e-84
17456,1,NETO2,18.498388,1.9198782,2.1273802725489268e-76,3.249480060166181e-74
17457,1,SLIT1,18.488605,2.2231503,2.5506212791162952e-76,3.8620842028914824e-74
17458,1,CDH11,18.460087,2.1649153,4.326424538858862e-76,6.4944853875128765e-74
17459,1,ENSHGLG00000007341,18.457054,2.386776,4.5762500286698136e-76,6.810789893096365e-74
17460,1,STXBP5,18.257534,1.982731,1.80247111211474e-74,2.637515081954115e-72
17461,1,CTNNA3,18.236917,1.6945279,2.628700351902382e-74,3.7829387791467916e-72
17462,1,ENSHGLG00000002931,18.175053,2.6472754,8.135053440347586e-74,1.1516722402989634e-71
17465,1,PDZD2,17.509027,3.019155,1.2226642591851287e-68,1.5654597606757828e-66
17466,1,ENSHGLG00000005900,17.336258,2.2015648,2.5052504049252918e-67,3.115994664354579e-65
17467,1,WBSCR17,17.320385,2.242692,3.30137069704615e-67,4.077075740969121e-65
17468,1,NOS1AP,17.214771,2.257112,2.0576149704384597e-66,2.4709827227755103e-64
17469,1,LUZP2,16.494665,1.840807,4.007690486370935e-61,4.444962703132299e-59
17471,1,PRKD1,16.001303,2.3723912,1.2512926614337433e-57,1.281691712561516e-55
17472,1,PRKCB,15.635593,1.8840383,4.165744125348337e-55,4.121483094016511e-53
17473,1,HECW2,15.3978,2.2607043,1.6933088593355062e-53,1.6200872070114927e-51
17474,1,ZNF385D,15.341586,2.2701948,4.0322262113182827e-53,3.7953056766316353e-51
17475,1,SH3GL2,15.157352,2.2105443,6.774542336917943e-52,6.208689774355376e-50
17476,1,SERGEF,15.105941,1.8677437,1.4798009463264855e-51,1.3282357669269635e-49
17477,1,TRPM3,14.451488,1.5267669,2.453290387813155e-47,1.96862421764933e-45
17479,1,ATP2A2,14.214844,2.3958669,7.411644998438741e-46,5.685417372590917e-44
17481,1,HPSE2,13.946933,2.695623,3.284289453133496e-44,2.3438250921071133e-42
17482,1,CDK8,13.871061,2.1203902,9.48630662268502e-44,6.633938040996556e-42
17483,1,CARMIL1,13.863288,1.834479,1.0571848532671186e-43,7.363503939976135e-42
17484,1,NFIB,13.852918,1.7001635,1.2214872276914872e-43,8.474006811072457e-42
17485,1,GAS7,13.725555,2.0067978,7.137981688582132e-43,4.836329772112088e-41
17486,1,EPB41L2,13.692773,2.437576,1.1214629869034228e-42,7.539781849787375e-41
17487,1,RASGEF1B,13.670641,1.9337254,1.5205068214747288e-42,1.0144285548789061e-40
17488,1,SLC17A7,13.563854,2.2385583,6.559677336473936e-42,4.294122611278972e-40
17489,1,NFIX,13.501155,1.94564,1.5394378022735645e-41,9.92823350036651e-40
17490,1,DIP2A,13.439307,2.191765,3.5574977964195525e-41,2.2858564254263346e-39
17491,1,FAM110B,13.42261,2.4565432,4.457330315615354e-41,2.832682218460225e-39
17492,1,CLTCL1,13.346244,2.2658908,1.2457388586018229e-40,7.774928582377613e-39
17493,1,GABRB2,13.24064,1.5820028,5.111166219157195e-40,3.122832890322254e-38
17494,1,TSHZ3,13.230054,2.2535927,5.8845301202431116e-40,3.5702899994353065e-38
17497,1,CDH18,12.839003,2.5442028,9.914381824011461e-38,5.446029359669135e-36
17498,1,CNTNAP4,12.802493,1.8745645,1.5877117853095545e-37,8.666716400500086e-36
17499,1,ENSHGLG00000000553,12.764812,2.4921706,2.5777163167229016e-37,1.3939681435744064e-35
17501,1,ENSHGLG00000006695,12.567016,1.7255129,3.205972615920917e-36,1.6275685469688316e-34
17502,1,LNPK,12.390303,2.1300662,2.9492688055949954e-35,1.4548333629412367e-33
17503,1,NIN,12.366884,2.0515475,3.9484370927004625e-35,1.931295929640257e-33
17504,1,ENSHGLG00000007099,12.21966,1.8288914,2.4410535259286064e-34,1.1519258820323801e-32
17505,1,MYLK,12.125182,3.1869116,7.768698992675629e-34,3.5977754138154447e-32
17507,1,IPCEF1,11.588337,2.8091998,4.722099820020086e-31,1.967127372392578e-29
17508,1,LRRTM3,11.543001,1.7334687,8.008158229078877e-31,3.288822151956379e-29
17509,1,CD47,11.541506,2.3753788,8.148598903476861e-31,3.338624769558649e-29
17510,1,ENSHGLG00000000349,11.389661,2.0882998,4.7082055150441524e-30,1.867516688689381e-28
17511,1,MACROD1,11.342556,2.042759,8.075068138203145e-30,3.181247997523334e-28
17513,1,RTTN,11.2103405,1.7838781,3.627933015268065e-29,1.3793274584031183e-27
17518,1,MICAL2,10.649724,1.9757018,1.748826942505573e-26,5.82262400570737e-25
17520,1,UNC13B,10.345095,1.5232278,4.404799686752198e-25,1.3672152753193586e-23
17521,1,PRKAG2,10.220147,2.0331168,1.6109674611487915e-24,4.8701000696152616e-23
17522,1,PLXNA2,10.199324,1.7521333,1.9965889322206406e-24,6.004594659198275e-23
17527,1,SSBP3,9.888385,2.1569095,4.6750864991387565e-23,1.3130206646694059e-21
17529,1,CAMK4,9.711444,1.6393194,2.6949302745117286e-22,7.186343165401643e-21
17533,1,PHYHIPL,9.616459,2.0809422,6.81366906165373e-22,1.76820297124555e-20
