,group,names,scores,logfoldchanges,pvals,pvals_adj
121912,7,ENSHGLG00000004100,17.553722,1.81601,5.570568330290138e-69,4.409104833424645e-66
121913,7,EML5,17.066916,1.6650698,2.6166547666581408e-65,1.9810351935573134e-62
121915,7,TMEFF2,16.725246,1.6944196,8.58216202140389e-63,5.977647491148238e-60
121917,7,ACVR2A,15.875544,2.008872,9.359670799184013e-57,6.036294356525601e-54
121918,7,ZFPM2,15.868577,1.9961907,1.045847417729756e-56,6.504050387474371e-54
121919,7,GPR39,15.736958,2.077138,8.44050503173799e-56,5.068086693712194e-53
121920,7,CDK14,15.649335,1.6264614,3.357097735590801e-55,1.948571428994754e-52
121921,7,TIAM1,15.600159,2.0103028,7.261352832283318e-55,4.078772157049981e-52
121923,7,ENSHGLG00000005632,15.497651,1.8041605,3.598084562253754e-54,1.898589287349231e-51
121924,7,GALNT13,15.322047,1.5663177,5.447438431407424e-53,2.789889570767573e-50
121926,7,AMPH,15.235904,1.6371914,2.0428361344458285e-52,9.881084891418115e-50
121927,7,EML6,15.191194,1.7272465,4.044842640101772e-52,1.903590402488977e-49
121928,7,ENSHGLG00000001121,15.089404,1.9275715,1.901514130964558e-51,8.713438305917328e-49
121931,7,GALNT18,14.571582,1.5886909,4.259106954394295e-48,1.7658054618301868e-45
121932,7,LMO7,14.423737,1.516964,3.6692672208104143e-47,1.485882560836552e-44
121939,7,GALNT10,13.911066,1.8697647,5.426488991172399e-44,1.8898290560656996e-41
121946,7,SLC4A4,13.409726,1.6712655,5.30344124020511e-41,1.5922210744084754e-38
121948,7,VWC2,13.343098,2.1276426,1.2994485209928063e-40,3.7712161826746225e-38
121949,7,CYP7B1,13.312664,1.5056888,1.9538827711227868e-40,5.577534539928046e-38
121966,7,KITLG,12.418507,2.2257085,2.0739765991574546e-35,4.6300198104011223e-33
121977,7,PRR16,12.078727,1.5010422,1.3682171568110197e-33,2.6769399271404814e-31
121991,7,SUCLG2,11.624294,1.9730886,3.101471563832196e-31,5.143421365810479e-29
121992,7,KLHL1,11.571228,1.5143481,5.765125612984935e-31,9.470578518764781e-29
122023,7,EPB41L4B,10.194002,1.6173587,2.108995441593399e-24,2.6611549003236126e-22
122056,7,UNC5A,9.477135,1.9325787,2.613603761440673e-21,2.6459699010445605e-19
122069,7,ZNRF2,9.242513,1.6300676,2.407759871463237e-20,2.2662877103669916e-18
122079,7,NDST3,9.064143,1.5005574,1.2558702747155818e-19,1.1157382190623686e-17
122090,7,LINGO1,8.973455,1.5608503,2.873546922574566e-19,2.405628488595717e-17
122099,7,DPY19L1,8.889586,1.6892407,6.133682173744275e-19,4.921926621723919e-17
122101,7,NHSL1,8.841803,1.5012562,9.418676439590602e-19,7.488922960848911e-17
139304,8,LDB2,30.553953,3.1172535,5.010541290340234e-205,8.72485554886945e-201
139305,8,SORCS1,30.312809,3.4469335,7.772273006151604e-202,6.766929492805895e-198
139306,8,CDH13,29.257263,2.8747332,3.6299285220245964e-188,2.1069315118004765e-184
139307,8,PEX5L,28.65827,2.749144,1.264468564653151e-180,5.5045477790763296e-177
139308,8,LUZP2,28.025105,2.85031,8.03497816278326e-173,2.798261494970898e-169
139309,8,TOX,26.62026,2.7064562,3.956254622025735e-156,1.148171028888902e-152
139310,8,ANO3,25.798357,2.7628798,9.25162846737979e-147,2.301408664321204e-143
139311,8,BCL11B,25.420908,2.6914408,1.481273622306881e-142,3.224177198153715e-139
139312,8,MAGI1,24.926195,2.3163724,3.8698671976127845e-137,7.487333056892379e-134
139313,8,SCHIP1,24.652802,2.7192752,3.4342307606207233e-134,5.980026023468866e-131
139314,8,CHSY3,24.2474,2.2653725,7.043212710681884e-130,1.1149405721009424e-126
139315,8,CNTN6,24.237402,2.437145,8.978650800143859e-130,1.302877053190875e-126
139316,8,RAB3C,24.156511,2.3208516,6.378410515241863e-129,8.54363556168512e-126
139317,8,TRPC4,23.612072,2.4529595,2.89690209771732e-123,3.603125444825121e-120
139320,8,KCNQ5,21.632404,2.2068539,8.902108057690788e-104,9.118376918151159e-101
139321,8,CNKSR2,21.574827,2.1020944,3.0963979154667306e-103,2.995420939001232e-100
139322,8,RALYL,21.56579,2.0309753,3.764270278901407e-103,3.4498546508689576e-100
139323,8,HDAC9,21.216877,2.0683782,6.670953515160749e-100,5.808065677974706e-97
139325,8,ENSHGLG00000008731,21.123306,2.0803196,4.857273575772026e-99,3.844532035223559e-96
139326,8,ENSHGLG00000001624,21.002333,2.3314166,6.244312289576171e-98,4.727487386886516e-95
139327,8,SYBU,20.951414,1.9771678,1.82140703515996e-97,1.3215066959683493e-94
139328,8,GRAMD1B,20.547138,2.1525698,8.163652950479341e-94,5.68614755306787e-91
139329,8,ROBO1,20.458252,1.9072497,5.072448970116125e-93,3.3971751506396954e-90
139330,8,CDH8,20.414757,2.0409806,1.2364438421596329e-92,7.974146897602107e-90
139331,8,EPHA7,20.391586,1.9648203,1.985989237537192e-92,1.2350725211869688e-89
139332,8,STMN2,20.322756,2.018101,8.090319917195787e-92,4.857818645452766e-89
139333,8,EML1,19.690119,1.867659,2.620745931793796e-86,1.5211682970108456e-83
139334,8,CPNE8,19.680033,1.8873153,3.1979975299133073e-86,1.7963461609154973e-83
139336,8,ENSHGLG00000013769,19.18982,2.5442433,4.501978239690306e-82,2.3532563923337836e-79
139338,8,HCN1,19.176815,1.8171185,5.781586992086614e-82,2.876422122662977e-79
139339,8,GLS,19.131659,1.7886097,1.3762659433021981e-81,6.65692190853366e-79
139340,8,SCN1A,19.066023,1.7734271,4.83722421700449e-81,2.2765023051540323e-78
139341,8,DAB1,19.017551,1.7619328,1.2205167799199207e-80,5.592857549669889e-78
139342,8,FOXP1,18.93332,1.8163502,6.061999438562383e-80,2.706605031376584e-77
139343,8,ATP6V0A1,18.860966,1.7556936,2.3882159251216303e-79,1.0396500976035738e-76
139344,8,ELMOD1,18.85238,1.8204709,2.809112955096842e-79,1.1930508265146661e-76
139345,8,VPS13A,18.787687,1.765562,9.524003172837107e-79,3.948606363062203e-76
139346,8,MRTFB,18.765476,1.828409,1.4469270184530767e-78,5.859381435424053e-76
139347,8,PBX3,18.73796,1.8048699,2.427521970012728e-78,9.606918196325371e-76
139348,8,SORCS2,18.664984,2.0385494,9.540411730877806e-78,3.691715321550561e-75
139349,8,DPYSL2,18.626873,1.7530526,1.945660162551767e-77,7.365169654459549e-75
139350,8,HS3ST2,18.53065,2.3950756,1.168682316865062e-76,4.3298436560790054e-74
139351,8,STK39,18.526192,1.8268545,1.2696113535182455e-76,4.6057796872527516e-74
139352,8,MPPED1,18.34971,1.7291716,3.31874418516429e-75,1.179373316250322e-72
139353,8,FGD4,18.315987,1.7502984,6.169815973976728e-75,2.1487001110971354e-72
139354,8,ADAM22,18.285461,1.7293966,1.080462309250095e-74,3.6890372923474323e-72
139355,8,VSNL1,18.257433,1.7795703,1.8058109505845545e-74,6.047035785101701e-72
139356,8,NTRK3,18.23583,1.668009,2.681462632210381e-74,8.809869587675352e-72
139357,8,NOS1AP,18.16269,1.7281051,1.0190779893931609e-73,3.286149079500576e-71
139358,8,MAGI3,18.083593,1.7566109,4.291847471012373e-73,1.3450570232445014e-70
139359,8,TSC22D1,18.08316,1.7178205,4.3256873199156996e-73,1.3450570232445014e-70
139360,8,EPHB1,18.05088,1.6672757,7.764237555294373e-73,2.371906465795455e-70
139362,8,CAMK2B,17.979109,1.726568,2.8402204560798193e-72,8.382501491816592e-70
139366,8,GAP43,17.783457,1.7171875,9.494262964860742e-71,2.6241841429701603e-68
139367,8,ENSHGLG00000010560,17.75498,1.6407915,1.5772566499213755e-70,4.291370319543893e-68
139368,8,CERS6,17.744673,1.6772048,1.895031497384506e-70,5.0766436098394466e-68
139369,8,CAPN12,17.730728,1.8753142,2.4287066119890377e-70,6.407737611297745e-68
139370,8,HECW1,17.642963,1.6505026,1.1525531261563083e-69,2.9954339680238506e-67
139371,8,SORL1,17.60907,1.9032966,2.0986524651474813e-69,5.3740934375901604e-67
139372,8,EXT1,17.599787,1.6801907,2.4725393121109287e-69,6.239757542288058e-67
139373,8,DLC1,17.590923,1.6498694,2.8912792811204814e-69,7.192263731735848e-67
139374,8,ADAM23,17.534494,1.8179547,7.814275464891064e-69,1.9164785728189873e-66
139375,8,RIT2,17.519161,2.3130643,1.0232249019448823e-68,2.4746410024397547e-66
139376,8,FAM49A,17.495934,1.6562958,1.538698958366616e-68,3.6703239674024504e-66
139377,8,SANBR,17.494774,1.7347443,1.5703689010191753e-68,3.6952477937090406e-66
139378,8,LMO7,17.491257,1.6812721,1.6703238689608428e-68,3.8310507182069417e-66
139379,8,ANKH,17.491198,1.8354188,1.6720832400145156e-68,3.8310507182069417e-66
139380,8,TCERG1L,17.460613,1.8777661,2.8584525650013582e-68,6.464186300567357e-66
139382,8,ENSHGLG00000005900,17.293194,1.5912253,5.293585794744986e-67,1.1668001195429676e-64
139383,8,SCN2A,17.274769,1.6208514,7.286500054482795e-67,1.5859978181088612e-64
139384,8,DYNC1I1,17.190578,1.6577848,3.1240349727895385e-66,6.71590382483756e-64
139385,8,SYCP1,17.180655,1.6544417,3.706988464240026e-66,7.871925625342875e-64
139386,8,RTN3,17.177181,1.6036365,3.9357703775806797e-66,8.257056576483419e-64
139387,8,NSG2,17.081787,1.6205003,2.02810444688622e-65,4.2042122301940175e-63
139388,8,SOX5,17.023712,1.764704,5.478519643087633e-65,1.1223230887657054e-62
139389,8,NFIB,16.91025,1.5514901,3.781051985216171e-64,7.65575095564758e-62
139390,8,ST6GALNAC3,16.826681,1.5661038,1.5558036000982668e-63,3.113931964196681e-61
139391,8,PTPRR,16.801365,1.6321809,2.3849258218431948e-63,4.719171969972222e-61
139393,8,SCN9A,16.753222,1.7546027,5.364088789832322e-63,1.0378319788594468e-60
139394,8,ARHGAP26,16.741602,1.5444921,6.5209918301745e-63,1.2478025355915226e-60
139395,8,ENSHGLG00000000970,16.710728,1.6000539,1.0948953267583853e-62,2.0723274266134525e-60
139396,8,SRSF5,16.680172,1.678553,1.826941218373555e-62,3.420701874789109e-60
139397,8,MYO5A,16.643042,1.6402662,3.3990894364021896e-62,6.296632378305461e-60
139398,8,EVL,16.638884,1.5853711,3.643500580576534e-62,6.678344801008336e-60
139399,8,RAPGEF4,16.619823,1.5217018,5.007965365529328e-62,9.083718844787728e-60
139400,8,SAMD12,16.59619,1.6309267,7.425841864018324e-62,1.3330534471974336e-59
139401,8,ENSHGLG00000001850,16.593716,1.7750578,7.738045813602408e-62,1.3749244056352932e-59
139402,8,KLC1,16.58568,1.6725863,8.845883650407827e-62,1.5558926465106212e-59
139403,8,FAM135B,16.582544,1.841398,9.319749686714263e-62,1.6228480129475546e-59
139405,8,FAT4,16.532963,1.7771271,2.124430533269349e-61,3.626736164295997e-59
139406,8,ENSHGLG00000000259,16.46637,1.7484585,6.39974450924319e-61,1.081929622713123e-58
139407,8,KCTD8,16.46422,1.8706933,6.631139686590057e-61,1.1102695707941601e-58
139408,8,ASAP1,16.419653,1.5825585,1.3835441591299778e-60,2.2944432802790763e-58
139409,8,NAV2,16.385038,1.5175081,2.446174377013492e-60,4.0184183421637674e-58
139410,8,ABI2,16.369663,1.5835481,3.149487577599898e-60,5.125423101752058e-58
139411,8,PI4KA,16.3376,1.5207258,5.330903604197082e-60,8.595094857396649e-58
139412,8,GABBR1,16.303638,1.579629,9.298905292485312e-60,1.4855214482389608e-57
139413,8,DGKB,16.29716,1.651645,1.033881531148688e-59,1.636634463808373e-57
139414,8,PTPRO,16.294643,1.5862501,1.0772905581717105e-59,1.6899874314814408e-57
139415,8,DBN1,16.28446,1.6108598,1.272455438463972e-59,1.9783273705333166e-57
139416,8,ARHGEF7,16.283443,1.5077753,1.2937896760058093e-59,1.9936955423264742e-57
139417,8,ENSHGLG00000008867,16.27866,1.640131,1.3989924113870269e-59,2.1368995490773948e-57
139418,8,STXBP1,16.249338,1.5289,2.2578574207671507e-59,3.4187888058972513e-57
139419,8,EFNA5,16.229366,1.6057777,3.1266936918647517e-59,4.693544591072493e-57
139420,8,DYNC1I2,16.224348,1.682289,3.393012401482207e-59,5.0497884570093735e-57
139421,8,SSBP2,16.203896,1.59809,4.733131919992083e-59,6.984578484984928e-57
139422,8,MTMR1,16.189356,1.7644608,5.995224111437836e-59,8.7726754161737e-57
139423,8,NDRG3,16.172682,1.6519567,7.860193159920051e-59,1.1405795291140653e-56
139424,8,DSCAM,16.112553,1.588168,2.082469703503731e-58,2.99686321876946e-56
139425,8,CIT,16.085978,1.6575049,3.1995764365847116e-58,4.566739712315539e-56
139426,8,SCN8A,16.084179,1.5477492,3.293922778375343e-58,4.663177019499987e-56
139427,8,ENSHGLG00000001938,16.078104,2.7661662,3.633316701814402e-58,5.102172881346305e-56
139428,8,LY6H,16.056171,1.5587617,5.175179081561387e-58,7.209231467778275e-56
139430,8,CDC73,16.044727,1.6771874,6.223227259809141e-58,8.532681596461147e-56
139431,8,KHDRBS3,16.011496,1.6206425,1.0622492651806188e-57,1.445073941764853e-55
139432,8,ATP9A,15.934022,1.5282242,3.679143067534484e-57,4.966272731393641e-55
139433,8,PRKAR1B,15.915518,1.6519215,4.9456235610536437e-57,6.624472543740546e-55
139434,8,MED13,15.905022,1.5348746,5.848318440534439e-57,7.773799160689022e-55
139436,8,MORF4L2,15.89186,1.7250335,7.215486249068289e-57,9.44686180864858e-55
139438,8,TRAPPC9,15.83117,1.5193973,1.8966050843212283e-56,2.4463395802433737e-54
139439,8,NBEAL1,15.806213,1.5723573,2.8191024240297876e-56,3.609487537472845e-54
139440,8,CAMKV,15.805746,1.5468801,2.840067111527189e-56,3.609787490001675e-54
139441,8,NEDD4L,15.784287,1.527128,3.991327730892046e-56,5.0363036071031297e-54
139442,8,SACS,15.77293,1.559678,4.778058723708844e-56,5.985635723449072e-54
139444,8,CAMKMT,15.718814,1.7088574,1.1240806913298707e-55,1.3881997927749673e-53
139445,8,NIN,15.708579,1.5461507,1.321075594213343e-55,1.6199922057772494e-53
139446,8,STRN3,15.704244,1.5750749,1.4145472660823895e-55,1.7224833247757096e-53
139448,8,HSD17B4,15.623152,1.6937798,5.063954586161249e-55,6.081285600608678e-53
139455,8,ENSHGLG00000015082,15.5142565,1.5505971,2.778338859944438e-54,3.1828430636981904e-52
139458,8,ADAMTS2,15.47005,2.7104473,5.526440686957845e-54,6.208510431096578e-52
139461,8,NECAB1,15.451314,1.6924945,7.392144038470671e-54,8.146797730499355e-52
139462,8,TTC39B,15.431425,1.5035979,1.0062421247941312e-53,1.1019933408201388e-51
139468,8,VMP1,15.366882,1.9512782,2.7299141758493586e-53,2.880969426913023e-51
139469,8,STT3B,15.338767,1.5952224,4.211181103082938e-53,4.417427502890553e-51
139473,8,EPHA6,15.292578,1.5707697,8.569025797738729e-53,8.777202718589676e-51
139475,8,CDIN1,15.268531,1.7576886,1.2393369861713177e-52,1.254684589546579e-50
139479,8,NSF,15.212109,1.5403757,2.9391983913242164e-52,2.907969408416397e-50
139480,8,MARK1,15.178659,1.5430354,4.8969096268271364e-52,4.817507758866719e-50
139481,8,ENSHGLG00000002411,15.166155,1.5092698,5.924796925704848e-52,5.795982520634748e-50
139482,8,ARAP2,15.160134,1.8697153,6.493648498587729e-52,6.316977726587045e-50
139487,8,ENSHGLG00000011337,15.096849,1.5336908,1.6985728823486177e-51,1.6074592174095913e-49
139488,8,CPEB4,15.071786,1.5389949,2.4831025599828582e-51,2.3372035068638653e-49
139491,8,DPYSL5,15.040532,1.5216792,3.9833657750735364e-51,3.689486608582739e-49
139493,8,ANXA6,14.9739685,1.6567056,1.0864034719501908e-50,9.956601924772986e-49
139495,8,ANKIB1,14.9330845,1.5235078,2.0076010520816914e-50,1.8207477666613796e-48
139496,8,LNPK,14.931898,1.5084977,2.043658124475439e-50,1.8438455399736174e-48
139498,8,SLC39A11,14.917283,1.8123325,2.5442394723403816e-50,2.2719406118904136e-48
139500,8,ENSHGLG00000016114,14.86625,1.5683253,5.458648108214439e-50,4.8249461679359404e-48
139501,8,ENSHGLG00000003620,14.864541,1.5407475,5.599697051389619e-50,4.924622462416537e-48
139508,8,HECTD2,14.7770195,1.6076968,2.0608561136350187e-49,1.7505213417915405e-47
139513,8,LPP,14.680616,1.9069723,8.580696779227296e-49,7.115032048413567e-47
139517,8,DDHD1,14.660054,1.5086513,1.1617982231501229e-48,9.453454420426678e-47
139518,8,ENSHGLG00000010525,14.658419,1.5244896,1.1901199689574313e-48,9.638864660211977e-47
139524,8,CCDC85A,14.59419,1.5258509,3.0582315943532185e-48,2.4096374096141443e-46
139527,8,NDFIP1,14.570144,1.8511981,4.3497741021926227e-48,3.3813668054232203e-46
139528,8,ENSHGLG00000015791,14.553298,1.7551866,5.565359794630996e-48,4.3070937823959796e-46
139529,8,USP6NL,14.550536,2.0749285,5.79471440323704e-48,4.464750526706486e-46
139531,8,RBMS1,14.536519,1.7561529,7.111865207073245e-48,5.431531089945896e-46
139535,8,EPS8,14.49528,1.797749,1.2977204399656964e-47,9.7401750091046e-46
139536,8,REEP1,14.483756,1.5074856,1.534757184068451e-47,1.1469839848147612e-45
139538,8,SORCS3,14.462464,1.5455495,2.0917369656935798e-47,1.5499325865371195e-45
139562,8,FEZF2,14.272449,2.223891,3.2496677801813544e-46,2.1848056006292635e-44
139568,8,TPM1,14.253274,2.1111653,4.277479123845663e-46,2.8107073201330013e-44
139570,8,ELAVL4,14.237357,1.7326196,5.3720208776574735e-46,3.5034831289381867e-44
139573,8,ABR,14.22123,1.514088,6.765334823083577e-46,4.363139824976086e-44
139575,8,UBE2E3,14.2098,1.587462,7.965268412082521e-46,5.099235987485035e-44
139579,8,PCSK6,14.188307,1.9900477,1.082405969009122e-45,6.828962006650666e-44
139582,8,EPB41L3,14.156897,1.5064718,1.693072833009597e-45,1.0566837720858822e-43
139593,8,HYCC1,14.066093,1.9659806,6.136686263947551e-45,3.684762686693749e-43
139596,8,ACTR3B,14.053941,1.8033181,7.286364036161002e-45,4.330288633504148e-43
139598,8,GDPD1,14.037628,1.7030768,9.173155422077026e-45,5.4146493343941444e-43
139603,8,VWC2L,14.007846,2.093548,1.3957500954018483e-44,8.096455513760762e-43
139604,8,HIVEP2,14.007652,1.5143539,1.3995481017871643e-44,8.096455513760762e-43
139605,8,KCNK10,14.006765,1.7038246,1.4171309879830454e-44,8.171027117135354e-43
139608,8,LONP2,13.953133,1.5903736,3.010867124415736e-44,1.718958335654138e-42
139611,8,ENSHGLG00000011064,13.943914,1.5772702,3.426229412609121e-44,1.9370432714857993e-42
139617,8,PAPD4,13.915433,1.5073513,5.104972440900302e-44,2.8309836023374824e-42
139621,8,CNOT6L,13.88403,1.52977,7.91639465722146e-44,4.334848432899286e-42
139622,8,SYT7,13.862569,1.543132,1.0678295445979514e-43,5.828876445167438e-42
139623,8,SUPT5H,13.852668,1.574755,1.2257411494874696e-43,6.669947073757908e-42
139624,8,CLGN,13.851387,1.5313545,1.2477946768610702e-43,6.768800220617388e-42
139625,8,NTNG1,13.841407,1.5504764,1.4337219737868122e-43,7.753230040232845e-42
139631,8,BASP1,13.804108,1.5143831,2.4073644207305784e-43,1.2780316054323649e-41
139638,8,TLN2,13.752401,1.517301,4.9266819760705044e-43,2.553223608610586e-41
139641,8,SPON1,13.737818,1.6056317,6.026506079889752e-43,3.095561957791158e-41
139645,8,NDRG4,13.713103,1.8862127,8.475390837141248e-43,4.3026816515201324e-41
139647,8,WSB1,13.712128,1.6810591,8.590133949304323e-43,4.335652245195252e-41
139658,8,MPPED2,13.659467,1.5718817,1.7727656951223435e-42,8.671114901450945e-41
139664,8,ADNP,13.634059,1.6552366,2.512112833784242e-42,1.2083817893559394e-40
139669,8,TMEM163,13.615226,1.5718201,3.25137716239923e-42,1.5426765811677873e-40
139693,8,ELAPOR2,13.473147,1.687391,2.250638889425851e-41,1.0023113806028732e-39
139706,8,RNF111,13.39697,1.5219439,6.298288333105934e-41,2.7146558105042976e-39
139710,8,PLAGL1,13.382785,1.6651791,7.62363415136968e-41,3.253684840142162e-39
139711,8,TAX1BP1,13.381695,1.5661792,7.736307423883393e-41,3.293699784158472e-39
139722,8,DDX5,13.275594,1.532785,3.207203923360856e-40,1.329691474225776e-38
139727,8,GTF2F2,13.243787,1.7054479,4.9013868800887994e-40,2.008184699834971e-38
139730,8,TTC14,13.229926,1.5472797,5.894556658022635e-40,2.3981755861249565e-38
139735,8,MTO1,13.19201,1.5583113,9.754881692471917e-40,3.9138653205302643e-38
139737,8,OSBPL10,13.183212,1.5384529,1.0962203213288029e-39,4.378092764976707e-38
139763,8,GPC1,12.9952,1.5174928,1.302673134159095e-38,4.909837074699636e-37
139773,8,MSL1,12.922425,1.5349807,3.3636731963640096e-38,1.2409246052603072e-36
139774,8,LDLRAD3,12.907085,1.5349883,4.10546436018574e-38,1.5113837400404714e-36
139778,8,KIF3A,12.890319,1.5266374,5.103223115664276e-38,1.8629439017413425e-36
139779,8,ADAM10,12.889289,1.6560508,5.171857191998447e-38,1.8840491482064633e-36
139791,8,COL9A1,12.758651,2.752262,2.7899306062018187e-37,9.914502376692299e-36
139797,8,ARMC3,12.748657,1.7629945,3.1715952218723616e-37,1.1134473306141821e-35
139800,8,HTR4,12.740906,2.495154,3.503052754759008e-37,1.2224179883490703e-35
139813,8,SYT4,12.694255,3.0799816,6.363297407777116e-37,2.1641425344066978e-35
139825,8,C18orf25,12.589374,1.5263242,2.4158190586659726e-36,8.027988028349347e-35
139862,8,UST,12.420231,1.5155145,2.0297589270984682e-35,6.30021251293505e-34
139870,8,TRMT9B,12.396945,3.3871624,2.714763149793889e-35,8.307938616407907e-34
139873,8,PIP4K2A,12.382318,1.8060116,3.257968647725478e-35,9.905850110057106e-34
139898,8,FLNA,12.258978,1.5215797,1.5038560989299699e-34,4.386372906309475e-33
139916,8,RSU1,12.188851,1.7940819,3.56411204773623e-34,1.0091363103614793e-32
139938,8,ENSHGLG00000017039,12.079904,1.5213591,1.348772965245476e-33,3.6812200068682564e-32
139961,8,CKB,11.956937,1.5167686,5.972471709630412e-33,1.5733532508289616e-31
139968,8,LACE1,11.923883,1.5073771,8.886768897001353e-33,2.3165465090342e-31
139983,8,CXADR,11.837384,1.7647432,2.501338644748332e-32,6.37713174538839e-31
139987,8,TKT,11.828369,1.7366223,2.784994250128387e-32,7.058967231075051e-31
140068,8,ORC5,11.480212,1.7564188,1.6587253815510783e-30,3.7608574308527246e-29
140082,8,SULF2,11.444433,1.6621784,2.5073797131824512e-30,5.577124209253737e-29
140089,8,LRRC8C,11.414938,1.7005209,3.5215689251968814e-30,7.771999961274182e-29
140091,8,DET1,11.40989,1.6325693,3.7319965942609625e-30,8.215582388857919e-29
140093,8,DPY19L1,11.407386,1.6558988,3.840979522836886e-30,8.434171050587477e-29
140101,8,HGSNAT,11.368336,1.598138,6.012275367151468e-30,1.3070131207017293e-28
140114,8,MAT2A,11.311583,1.6569344,1.1499606286384317e-29,2.459983344776537e-28
140115,8,ENSHGLG00000011731,11.309945,1.8438102,1.1716325681457057e-29,2.5032684551068923e-28
140116,8,MINDY2,11.3049135,1.9527363,1.2407680859816838e-29,2.647732191323414e-28
140129,8,HMCN1,11.247824,1.6845552,2.373775655666582e-29,4.986074245129336e-28
140139,8,GNAI1,11.220928,1.6864308,3.2187356088228225e-29,6.6803150365234575e-28
140145,8,PSMD3,11.189474,1.5789286,4.591501340868244e-29,9.46175299982707e-28
140168,8,ARID5B,11.100298,1.538453,1.2502586515922753e-28,2.5081513709880516e-27
140173,8,FAM81A,11.087374,1.7008548,1.44466888681599e-28,2.8815600602665332e-27
140205,8,ATP11C,10.97009,1.6497898,5.321922529295838e-28,1.0239849392555626e-26
140234,8,STARD3NL,10.835999,1.7133371,2.3241623864227378e-27,4.333044928777209e-26
140239,8,ENSHGLG00000008977,10.827395,1.5504695,2.5531301810676683e-27,4.734574637159884e-26
140253,8,ATP8B1,10.76902,2.1818905,4.8210416145859976e-27,8.808897967973344e-26
140254,8,RSPO2,10.763509,1.6671605,5.118349084876013e-27,9.342328366346542e-26
140255,8,CHST8,10.750526,2.2727532,5.892413702565168e-27,1.0743937152122228e-25
140266,8,CHCHD6,10.714361,1.5426159,8.715657433165027e-27,1.5710739428954722e-25
140291,8,GLRX2,10.646069,1.5584708,1.8188498418480232e-26,3.1959265687285194e-25
140295,8,FAM185A,10.642133,1.538822,1.8973603709146463e-26,3.3204759938428885e-25
140307,8,ENSHGLG00000002680,10.618114,1.5955782,2.454687052006357e-26,4.244634124785173e-25
140309,8,UCHL1,10.608328,1.9917542,2.725832144198799e-26,4.704154125563299e-25
140344,8,FXYD6,10.501827,1.5386809,8.472371361285105e-26,1.4131168823185588e-24
140354,8,CLCN2,10.458901,1.893515,1.3339336244922362e-25,2.2037747820951907e-24
140355,8,CRYM,10.455836,2.4374015,1.3777757837969524e-25,2.2740483150006e-24
140357,8,ADRA1A,10.442708,2.2379136,1.5823054282818115e-25,2.6066872679915973e-24
140395,8,DGKZ,10.333934,1.5984596,4.948859298642912e-25,7.869816161394432e-24
140430,8,SPINT2,10.226304,1.8531088,1.511798507996841e-24,2.3275815578911574e-23
140432,8,NECAP1,10.222235,1.6715881,1.5766370229496107e-24,2.4231227255623628e-23
140464,8,GRSF1,10.095728,1.5046269,5.770138698175842e-24,8.62450001299021e-23
140470,8,RSRC1,10.078255,1.5172188,6.894002032411362e-24,1.0251516429579764e-22
140487,8,ACLY,10.014297,1.879005,1.3189667443730527e-23,1.9332632929097615e-22
140501,8,ATAT1,9.964722,1.5369124,2.174821033713642e-23,3.150595562400636e-22
140526,8,SEZ6L,9.875643,1.6903534,5.309151684425888e-23,7.534495377417114e-22
140540,8,TMEM59L,9.842161,1.9200475,7.41014425965302e-23,1.03974892822996e-21
140541,8,PLPPR4,9.840797,1.5530442,7.511321436093717e-23,1.0530969417608689e-21
140564,8,KIF5A,9.73947,1.519074,2.0462019492197317e-22,2.8166414657520307e-21
140566,8,GLRB,9.726213,1.5100807,2.3310918792805953e-22,3.2037334565045783e-21
140629,8,MORC4,9.534288,1.6245672,1.5091701040080686e-21,1.975878121886654e-20
140630,8,GNG3,9.533813,1.634496,1.5160900990618243e-21,1.983446799020552e-20
140633,8,HCRTR2,9.529236,1.6737235,1.5844503856254728e-21,2.068218483125664e-20
140646,8,DNAAF5,9.478845,1.539713,2.5711425120984342e-21,3.3237791063971813e-20
140685,8,TINAG,9.341093,2.1052878,9.534466692758837e-21,1.1978619662410506e-19
140750,8,STMN4,9.133615,1.7344543,6.624981553969306e-20,7.950434445159718e-19
140807,8,RFC2,8.964705,1.6067687,3.1111107878257535e-19,3.592425208780494e-18
140811,8,LGR4,8.953919,1.5285032,3.4307800490195517e-19,3.951069642432372e-18
140829,8,PPARGC1A,8.916622,1.6477087,4.807248575148844e-19,5.471151597324629e-18
140830,8,HMGCS1,8.90994,1.5374663,5.1060265312339815e-19,5.807396472134378e-18
140836,8,SLC6A7,8.899717,1.5263883,5.598897527334566e-19,6.340475703151371e-18
140858,8,ENSHGLG00000010365,8.846614,1.6555611,9.021522720765678e-19,1.0076444845201587e-17
140869,8,TGFBR1,8.810127,1.8036456,1.2500379613622333e-18,1.386427453579654e-17
140882,8,SH3BGRL2,8.785543,1.7605126,1.5561061703097877e-18,1.7117167873407664e-17
140896,8,G3BP1,8.738538,1.5304921,2.3614740860650727e-18,2.5748496093081473e-17
140915,8,UGCG,8.689674,1.6610653,3.634789056608703e-18,3.9166201635351086e-17
140922,8,DTNBP1,8.671014,1.5665132,4.282880789911474e-18,4.5950587304207335e-17
140950,8,TOMM20,8.584038,1.645172,9.15999995543054e-18,9.660998135912295e-17
140956,8,IVNS1ABP,8.570612,1.7121439,1.0293629260864276e-17,1.0817318426036792e-16
